threshold,recall_bad,recall_good,model_name
0.54,0.9066540523494165,0.08829568788501027,Bias Model
0.55,0.8992957006202039,0.09240246406570841,Bias Model
0.56,0.8881530537159676,0.10061601642710473,Bias Model
0.5700000000000001,0.875959213707558,0.1273100616016427,Bias Model
0.58,0.8656575212866604,0.13347022587268995,Bias Model
0.59,0.8536739198990855,0.1457905544147844,Bias Model
0.6,0.840849364028172,0.15811088295687886,Bias Model
0.61,0.8283401660885105,0.17453798767967146,Bias Model
0.62,0.8143592978030064,0.1971252566735113,Bias Model
0.63,0.7975402081362346,0.21765913757700206,Bias Model
0.64,0.7808262377798801,0.23408624229979466,Bias Model
0.65,0.7634815515610217,0.25256673511293637,Bias Model
0.66,0.745716388100494,0.2669404517453799,Bias Model
0.67,0.7299484915378955,0.28542094455852157,Bias Model
0.68,0.7119730894565331,0.30184804928131415,Bias Model
0.6900000000000001,0.691474823925155,0.3141683778234086,Bias Model
0.7000000000000001,0.6715021549458635,0.3264887063655031,Bias Model
0.71,0.648586145274887,0.34291581108829566,Bias Model
0.72,0.6249343004309892,0.37166324435318276,Bias Model
0.73,0.6019131714495953,0.40451745379876797,Bias Model
0.74,0.5774203721223589,0.4188911704312115,Bias Model
0.75,0.5530326921055397,0.44763860369609854,Bias Model
0.76,0.5271733417428782,0.4702258726899384,Bias Model
0.77,0.5025754231052244,0.5030800821355236,Bias Model
0.78,0.4729317775675392,0.5277207392197125,Bias Model
0.79,0.44454956375486177,0.5585215605749486,Bias Model
0.8,0.41700830442552295,0.5728952772073922,Bias Model
0.81,0.38810049406075897,0.5913757700205339,Bias Model
0.8200000000000001,0.36003363817933354,0.6160164271047228,Bias Model
0.8300000000000001,0.32839272574371914,0.6365503080082136,Bias Model
0.84,0.29706717123935666,0.675564681724846,Bias Model
0.85,0.26637233259749815,0.7186858316221766,Bias Model
0.86,0.23599285188689162,0.7515400410677618,Bias Model
0.87,0.2044570587616945,0.7946611909650924,Bias Model
0.88,0.17165983391148953,0.8193018480492813,Bias Model
0.89,0.13917796699253654,0.8562628336755647,Bias Model
0.9,0.10785241248817408,0.8870636550308009,Bias Model
0.91,0.07936507936507936,0.9137577002053389,Bias Model
0.92,0.0550825186586776,0.9363449691991786,Bias Model
0.93,0.0351098496793861,0.9568788501026694,Bias Model
0.9400000000000001,0.020393146220960792,0.9794661190965093,Bias Model
0.9500000000000001,0.010406811731315043,0.9876796714579056,Bias Model
0.96,0.004730368968779565,0.9938398357289527,Bias Model
0.97,0.002207505518763797,1.0,Bias Model
0.98,0.0008409544833385893,1.0,Bias Model
0.99,0.000315357931251971,1.0,Bias Model
1.0,0.0,1.0,Bias Model
0.0,1.0,0.002053388090349076,Extreme Model
0.01,0.9783454220540313,0.03490759753593429,Extreme Model
0.02,0.9474403447913382,0.06981519507186858,Extreme Model
0.03,0.9218963523599285,0.09650924024640657,Extreme Model
0.04,0.8968779564806055,0.12320328542094455,Extreme Model
0.05,0.8715442026700305,0.14784394250513347,Extreme Model
0.06,0.8457899716177862,0.162217659137577,Extreme Model
0.07,0.8181435929780301,0.188911704312115,Extreme Model
0.08,0.7941763902028802,0.20944558521560575,Extreme Model
0.09,0.7711552612214864,0.22381930184804927,Extreme Model
0.1,0.7491853253442657,0.24435318275154005,Extreme Model
0.11,0.7239566908441081,0.25667351129363447,Extreme Model
